packages_with_rust_version=420
derive_more-impl 2.1.1 rust-version=1.81.0
rsqlite-vfs 0.1.1 rust-version=1.81.0
sqlite-wasm-rs 0.5.5 rust-version=1.81.0
litemap 0.8.3 rust-version=1.82
potential_utf 0.1.6 rust-version=1.82
tinystr 0.8.4 rust-version=1.82
windows-core 0.62.2 rust-version=1.82
windows-registry 0.6.1 rust-version=1.82
windows-result 0.4.1 rust-version=1.82
windows-strings 0.5.1 rust-version=1.82
writeable 0.6.4 rust-version=1.82
yoke 0.8.3 rust-version=1.82
zerotrie 0.2.5 rust-version=1.82
proc-macro-crate 3.5.0 rust-version=1.82.0
zerovec 0.11.8 rust-version=1.83
async-lock 3.4.2 rust-version=1.85
async-signal 0.2.14 rust-version=1.85
chacha20 0.10.2 rust-version=1.85
cpufeatures 0.3.1 rust-version=1.85
dlopen2 0.8.2 rust-version=1.85
dlopen2_derive 0.4.3 rust-version=1.85
getrandom 0.4.3 rust-version=1.85
hashlink 0.12.2 rust-version=1.85
hyper-rustls 0.27.9 rust-version=1.85
indexmap 2.14.2 rust-version=1.85
jobserver 0.1.35 rust-version=1.85
mac-notification-sys 0.6.15 rust-version=1.85
quinn 0.11.11 rust-version=1.85
quinn-proto 0.11.17 rust-version=1.85
quinn-udp 0.5.15 rust-version=1.85
rand 0.10.2 rust-version=1.85
rand_core 0.10.1 rust-version=1.85
rand_pcg 0.10.2 rust-version=1.85
rustls-platform-verifier 0.7.0 rust-version=1.85
security-framework 3.7.0 rust-version=1.85
serde_spanned 1.1.1 rust-version=1.85
toml 1.1.6+spec-1.1.0 rust-version=1.85
toml_datetime 1.1.1+spec-1.1.0 rust-version=1.85
toml_edit 0.25.15+spec-1.1.0 rust-version=1.85
toml_parser 1.1.3+spec-1.1.0 rust-version=1.85
toml_writer 1.1.2+spec-1.1.0 rust-version=1.85
uds_windows 1.2.1 rust-version=1.85
zeroize 1.9.0 rust-version=1.85
zeroize_derive 1.5.0 rust-version=1.85
deranged 0.5.8 rust-version=1.85.0
hashbrown 0.17.1 rust-version=1.85.0
jni 0.22.4 rust-version=1.85.0
reqwest 0.13.5 rust-version=1.85.0
simd_cesu8 1.2.0 rust-version=1.85.0
unicode-segmentation 1.13.3 rust-version=1.85.0
uuid 1.26.1 rust-version=1.85.0
wit-bindgen 0.57.1 rust-version=1.85.0
idna_adapter 1.2.2 rust-version=1.86
multiversion 0.9.0 rust-version=1.86
multiversion-macros 0.9.0 rust-version=1.86
quick-xml 0.42.0 rust-version=1.86
zbus 5.19.0 rust-version=1.87
zbus_macros 5.19.0 rust-version=1.87
zbus_names 4.3.4 rust-version=1.87
zcheapstr 1.1.0 rust-version=1.87
zvariant 5.15.0 rust-version=1.87
zvariant_derive 5.15.0 rust-version=1.87
zvariant_utils 4.2.0 rust-version=1.87
wasip2 1.0.4+wasi-0.2.12 rust-version=1.87.0
encoding_rs 0.8.41 rust-version=1.88
icu_collections 2.3.0 rust-version=1.88
icu_locale_core 2.3.0 rust-version=1.88
icu_normalizer 2.3.0 rust-version=1.88
icu_normalizer_data 2.3.0 rust-version=1.88
icu_properties 2.3.0 rust-version=1.88
icu_properties_data 2.3.0 rust-version=1.88
icu_provider 2.3.1 rust-version=1.88
serde_with 3.23.0 rust-version=1.88
serde_with_macros 3.23.0 rust-version=1.88
darling 0.24.1 rust-version=1.88.0
darling_core 0.24.1 rust-version=1.88.0
darling_macro 0.24.1 rust-version=1.88.0
plist 1.10.1 rust-version=1.88.0
time 0.3.55 rust-version=1.88.0
time-core 0.1.9 rust-version=1.88.0
time-macros 0.2.32 rust-version=1.88.0
highest_rust_version=1.88.0
